n,m,C,S
2,0,-0.000484165143790815,0.0
2,1,-2.06615509074176e-10,1.38441389137979e-09
2,2,2.43938357328313e-06,-1.40027370385934e-06
3,0,9.57161207093473e-07,0.0
3,1,2.03046201047864e-06,2.48200415856872e-07
3,2,9.04787894809528e-07,-6.19005475177618e-07
3,3,7.21321757121568e-07,1.41434926192941e-06
4,0,5.39965866638991e-07,0.0
4,1,-5.36157389388867e-07,-4.73567346518086e-07
4,2,3.50501623962649e-07,6.62480026275829e-07
4,3,9.90856766672321e-07,-2.00956723567452e-07
4,4,-1.88519633023033e-07,3.08803882149194e-07
5,0,6.86702913736681e-08,0.0
5,1,-6.29211923042529e-08,-9.43698073395769e-08
5,2,6.52078043176164e-07,-3.23353192540522e-07
5,3,-4.51847152328843e-07,-2.14955408306046e-07
5,4,-2.95328761175629e-07,4.98070550102351e-08
5,5,1.74811795496002e-07,-6.69379935180165e-07
6,0,-1.49953927978527e-07,0.0
6,1,-7.59210081892527e-08,2.65122593213647e-08
6,2,4.8648892460469e-08,-3.73789324523752e-07
6,3,5.72451611175653e-08,8.9520113001073e-09
6,4,-8.60237937191611e-08,-4.71425573429095e-07
6,5,-2.67166423703038e-07,-5.36493151500206e-07
6,6,9.47068749756882e-09,-2.37382353351005e-07
7,0,9.05120844521618e-08,0.0
7,1,2.80887555776673e-07,9.51259362869275e-08
7,2,3.30407993702235e-07,9.29969290624092e-08
7,3,2.50458409225729e-07,-2.1711828772961e-07
7,4,-2.74993935591631e-07,-1.24058403514343e-07
7,5,1.64773255934658e-09,1.79281782751438e-08
7,6,-3.58798423464889e-07,1.51798257443669e-07
7,7,1.50746472872675e-09,2.41068767286303e-08
8,0,4.94756003005199e-08,0.0
8,1,2.31607991248329e-08,5.88974540927606e-08
8,2,8.00143604736599e-08,6.52805043667369e-08
8,3,-1.9374538171529e-08,-8.59639339125694e-08
8,4,-2.44360480007096e-07,6.98072508472777e-08
8,5,-2.57011477267991e-08,8.92034891745881e-08
8,6,-6.59648680031408e-08,3.08946730783065e-07
8,7,6.72569751771483e-08,7.48686063738231e-08
8,8,-1.24022771917136e-07,1.20551889384997e-07
9,0,2.801807532163e-08,0.0
9,1,1.42151377236084e-07,2.1400466507751e-08
9,2,2.14144381199757e-08,-3.16984195352417e-08
9,3,-1.60612356882835e-07,-7.42658786809216e-08
9,4,-9.36529556592536e-09,1.99026740710063e-08
9,5,-1.63134050605937e-08,-5.40394840426217e-08
9,6,6.27879491161446e-08,2.22962377434615e-07
9,7,-1.17983924385618e-07,-9.69222126840068e-08
9,8,1.88136188986452e-07,-3.00538974811744e-09
9,9,-4.75568433357652e-08,9.68804214389955e-08
10,0,5.33304381729473e-08,0.0
10,1,8.37623112620412e-08,-1.31092332261065e-07
10,2,-9.39894766092874e-08,-5.12746772537482e-08
10,3,-7.00709997317429e-09,-1.54139929404373e-07
10,4,-8.4471538807463e-08,-7.90255527979406e-08
10,5,-4.92894049964295e-08,-5.06137282060864e-08
10,6,-3.75849022022301e-08,-7.97688616388143e-08
10,7,8.26209286523474e-09,-3.04903703914366e-09
10,8,4.05981624580941e-08,-9.17138622482163e-08
10,9,1.2537663160434e-07,-3.7943658484127e-08
10,10,1.00435991936118e-07,-2.38596204211893e-08
11,0,-5.07683787085927e-08,0.0
11,1,1.56127678638183e-08,-2.71235374123689e-08
11,2,2.01135250154855e-08,-9.9000395490559e-08
11,3,-3.05773531606647e-08,-1.48835345047152e-07
11,4,-3.79499015091407e-08,-6.37669897493018e-08
11,5,3.7419240705058e-08,4.95908160271967e-08
11,6,-1.56429128694775e-09,3.42735099884706e-08
11,7,4.65461661449953e-09,-8.98252194924903e-08
11,8,-6.30174049861897e-09,2.45446551115189e-08
11,9,-3.10727993686101e-08,4.20682585407293e-08
11,10,-5.22444922089646e-08,-1.8421638316373e-08
11,11,4.62340571475799e-08,-6.967112515237e-08
12,0,3.64361922614572e-08,0.0
12,1,-5.35856270449833e-08,-4.31656037232084e-08
12,2,1.4266593682829e-08,3.10937162901519e-08
12,3,3.96211271409354e-08,2.50622628960907e-08
12,4,-6.77284618097416e-08,3.83823469584472e-09
12,5,3.08775410911475e-08,7.59066416791107e-09
12,6,3.13421100991039e-09,3.89801868153392e-08
12,7,-1.905179574831e-08,3.57268620672699e-08
12,8,-2.58866871220994e-08,1.69362538600173e-08
12,9,4.19147664170774e-08,2.49625636010847e-08
12,10,-6.19955079880774e-09,3.09398171578482e-08
12,11,1.13644952089825e-08,-6.38551119140755e-09
12,12,-2.42377235648074e-09,-1.10993698692881e-08
13,0,4.17293021685027e-08,0.0
13,1,-5.1442100920612e-08,3.86910482386637e-08
13,2,5.53118515702855e-08,-6.26943474947239e-08
13,3,-2.15570388049647e-08,9.76866679032941e-08
13,4,-3.65127902764428e-09,-1.17512717960252e-08
13,5,5.83702330251927e-08,6.72244622794413e-08
13,6,-3.50445484464565e-08,-6.27356859556194e-09
13,7,3.01412465951003e-09,-7.3206865996197e-09
13,8,-1.00532117993105e-08,-9.8578703264598e-09
13,9,2.47702773255876e-08,4.58875609452034e-08
13,10,4.11080488026299e-08,-3.6840390917775e-08
13,11,-4.45213404110823e-08,-4.84141059455725e-09
13,12,-3.13130628228171e-08,8.79376493656904e-08
13,13,-6.12004732532594e-08,6.81501470347338e-08
14,0,-2.26681154094404e-08,0.0
14,1,-1.87724885657433e-08,2.88602024410603e-08
14,2,-3.59186725681205e-08,-4.05327051356456e-09
14,3,3.65140497848863e-08,1.96941950099316e-08
14,4,1.60184144282003e-09,-2.26625156915448e-08
14,5,2.93092637238844e-08,-1.67894170071708e-08
14,6,-1.90674352461174e-08,2.45661933018802e-09
14,7,3.76297554551457e-08,-3.9336467107874e-09
14,8,-3.49417459823694e-08,-1.5447552149572e-08
14,9,3.19517827137725e-08,2.84642263273996e-08
14,10,3.88008374622606e-08,-1.29351349981739e-09
14,11,1.56475715628498e-08,-3.90403676399681e-08
14,12,8.46317130098805e-09,-3.11211374558506e-08
14,13,3.22437165995707e-08,4.51472951879378e-08
14,14,-5.18650713590088e-08,-4.81611072612157e-09
15,0,2.19216154508434e-09,0.0
15,1,9.42942849227573e-09,1.04833279954842e-08
15,2,-2.05302993025519e-08,-3.03007325301024e-08
15,3,5.34162906407382e-08,1.76634209489453e-08
15,4,-4.01721760931603e-08,6.81343055884874e-09
15,5,1.22424622638639e-08,7.62075300880907e-09
15,6,3.28522324096078e-08,-3.64691072357445e-08
15,7,5.96540954755518e-08,5.07394600032322e-09
15,8,-3.20875010777956e-08,2.21729246735453e-08
15,9,1.32999993095746e-08,3.79914748780028e-08
15,10,1.02639183602256e-08,1.4690633257687e-08
15,11,-1.30462854422872e-09,1.85210748548004e-08
15,12,-3.24147324255678e-08,1.56080393130757e-08
15,13,-2.83649640930711e-08,-4.57549001836693e-09
15,14,5.19862755176957e-09,-2.43950380180467e-08
15,15,-1.90443752608698e-08,-4.69941074395975e-09
16,0,-4.71037252266068e-09,0.0
16,1,2.6185244789231e-08,3.33423726704204e-08
16,2,-2.45117847209327e-08,2.80314862616323e-08
16,3,-3.39147390918482e-08,-2.13401079775597e-08
16,4,4.08540187833972e-08,4.79877498751224e-08
16,5,-1.21209356470009e-08,-3.44283772175451e-09
16,6,1.38747261713477e-08,-3.55969015666675e-08
16,7,-8.06188863620981e-09,-8.6517866069519e-09
16,8,-2.12044215093991e-08,5.40717302974902e-09
16,9,-2.24151915247857e-08,-3.96686472741101e-08
16,10,-1.18064629182132e-08,1.15374382529194e-08
16,11,1.9111846301382e-08,-3.20054944714364e-09
16,12,1.95631858722835e-08,6.72539764312181e-09
16,13,1.37744095920323e-08,1.04745467774466e-09
16,14,-1.93451561175034e-08,-3.86522367774771e-08
16,15,-1.44196100302905e-08,-3.27760669358925e-08
16,16,-3.82992884797529e-08,2.95860714710389e-09
17,0,1.91875988417387e-08,0.0
17,1,-2.53645204657949e-08,-3.17042482135934e-08
17,2,-2.01017447758198e-08,6.81376058343928e-09
17,3,6.30839562027722e-09,5.08308654394536e-09
17,4,6.47515778433184e-09,2.53354668311939e-08
17,5,-1.62193992995631e-08,8.03001732911605e-09
17,6,-1.17320425248787e-08,-2.94401279670302e-08
17,7,2.49764681793243e-08,-4.38554429095768e-09
17,8,3.90006528364112e-08,3.63439990543582e-09
17,9,3.47901841118582e-09,-2.76427048005195e-08
17,10,-3.79589397747057e-09,1.83778246503248e-08
17,11,-1.60174948249694e-08,1.10870581174922e-08
17,12,2.87221517856901e-08,2.04582230384783e-08
17,13,1.65063239919241e-08,2.01356543378344e-08
17,14,-1.42747771121823e-08,1.15742828658331e-08
17,15,5.53783372805876e-09,5.24340656496201e-09
17,16,-3.03992561155655e-08,3.60274437895663e-09
